marker-color	marker-size	marker-symbol	Date	Event Type	Attendees	Contributors	Project / Event	Objects Created in AOI	Participants	Partner / Host	Venue	Organizer	Hashtag	Writeup	lonitude	latitude
#ff932e	medium	marker	2016-01-13	Workshop + Mapathon	55	31	TM 1129, MapGive Leyte	25899		U.S. Embassy, Manila	Manila, NCR	Map the Philippines	#ManilaMapathon	http://www.osm.org/user/GOwin/diary/37829h	120.97639	14.577
#ff932e	medium	marker	2016-01-14	Training Workshop	30	11	CfC / CR+ID	270			Y Hotel, Butuan City, Caraga	The Asia Foundation	#taf-caraga	htpp://www.osm.org/user/Gowin/diary/378	125.5391728878	8.9382166614
#7e7e7e	small		2015-11-17	Workshop + Mapathon			TM 1129, MapGive Leyte			Mozilla Philippines	Mozilla Community Space Manila, Makati, NCR	Map the Philippines			121.01576	14.54682
#7e7e7e	small		2015-08-21	Training Workshop			CfC / CR+ID			Provincial and Municipal LGUs	Panglao, BOH	The Asia Foundation			123.77253	9.55042
#7e7e7e	small		2015-08-21	Training Workshop			CfC / CR+ID			Negros Province, LGU	Dumaguete, NEC	The Asia Foundation			123.2851409912	9.3176350233
#7e7e7e	small		2015-05-23	Training Workshop			CfC / CR+ID				Iloilo, ILI	The Asia Foundation			122.5664377213	10.6944722992
#7e7e7e	small		2015-07-17	Training Workshop			CfC / CR+ID			Provincial LGU	Tagbilaran, BOH	The Asia Foundation			123.8632965088	9.6603231683
#7e7e7e	small		2015-07-11	Training Workshop			OpenRoads			Baybay LGU	Baybay, LEY	Map the Philippines			124.8022842407	10.6774773397
#7e7e7e	small		2015-04-11	OSM Essentials Training			OpenRoads				Lipa, BAT	Map the Philippines			121.0830688477	13.7900714372
#7e7e7e	small			Advanced OSM Training		41	OpenRoads			FEU Institute of Technology	Manila, NCR	Map the Philippines	#osmfeu2015		120.9885960817	14.6040892558
#7e7e7e	small		2015-08-22	OSM Appreciation | Talk			Mapping for Every Juan			Silliman University	Dumaguete, NEC	OSMph			123.3072048426	9.3117855027
#7e7e7e	small		2015-08-24	OSM Appreciation | Talk			Mapping for Every Juan			Foundation University	Dumaguete, NEC	OSMph			123.2998609543	9.3058194201
#7e7e7e	small			IntermediateOSM / Inasafe Workshop			Disaster Resilience Program			Busuanga LGU, Schweizerisches Rotes Kreuz (SRK), Philipine Red Cross	Busuanga, PLW	OSMph			119.9357914925	12.1329424096
#7e7e7e	small		2015-09-05	OSM Appreciation | Workshop						HSBC	Taguig, NCR	Philippine Disaster Resilience Foundation			121.0480338335	14.5536675192
#7e7e7e	small			Extended Mapathon			WHO-MCP Luzon Road and River Network Mapping				Luzon island	OSMph			120.9484863281	15.5807107392
#7e7e7e	small		2013-11-05 to 07	Training Workshop			Participatory mapping and LGU decision support tools for DRR			World Bank / GFDRR	Lubao, PAM	Environmental Science for Social Change			120.6007432938	14.9378188564
#7e7e7e	small		2013-10-23 to 25	Training Workshop			Participatory mapping and LGU decision support tools for DRR			World Bank / GFDRR	Guagua, PAM	Environmental Science for Social Change			120.6351184845	14.9655157355
#7e7e7e	small		2013	Training Workshop			Participatory mapping and LGU decision support tools for DRR			World Bank / GFDRR	Candaba, PAM	Environmental Science for Social Change			120.8214569092	15.0916818661
